"(eg: domain.com/identifier)","(例如：domain.com/identifier)"
"Action","操作"
"Add New Block","增加新块"
"Add New Page","增加新页面"
"All countries","所有国家"
"Block Information","块信息"
"Block Title","块标题"
"Block was successfully deleted","成功删除块"
"Block was successfully saved","成功保存块"
"CMS","CMS"
"CMS Home Page","CMS 首页"
"CMS No Cookies Page","CMS 无缓存页面"
"CMS No Route Page","CMS 缺失页面"
"Content","内容"
"Custom Design","自定义设计"
"Custom Theme","自定义主题"
"Custom Theme From","自定义主题自"
"Custom Theme To","自定义主题到"
"Customer Tax Class Information","自定义税率信息"
"Date Created","创建日期"
"Delete Block","删除方框"
"Delete Page","删除页面"
"Description","描述"
"Disabled","关闭"
"Edit Block","修改块"
"Edit Block '%s'","修改块'%s'"
"Edit Page","修改页面"
"Edit Page '%s'","修改页面'%s'"
"Enabled","启用"
"General Information","基本信息"
"Go to Home Page","转到首页"
"Home","首页"
"Identifier","标识符"
"Keywords","关键字"
"Last Modified","最后修改"
"Layout","版面"
"Layout Update XML","版面更新XML"
"Manage Pages","管理页面"
"Meta Data","Meta 数据"
"Meta Description","Meta 描述"
"Meta Keywords","Meta 关键字"
"New Block","新块"
"New Page","新页面"
"Page Identifier cannot consist only of numbers.","页面标识符不能只含数字。"
"Page Identifier for specified store already exist.","输入的商店页面标识符已存在。"
"Page Information","页面信息"
"Page Status","页面状态"
"Page Title","页面标题"
"Page was successfully deleted","成功删除页面"
"Page was successfully saved","成功保存页面"
"Poll Manager","投票管理"
"Product Tax Class Information","商品税率信息"
"Redirect to CMS-page if cookies are disabled","如果缓存不可用，重定向到CMS-页"
"SEF URL Identifier","搜索引擎友好网址的标识符"
"Save Block","保存块"
"Save Page","保存页面"
"Show breadcrumbs for CMS pages","显示CMS页面导航条"
"Show notice if JavaScipt is disabled","如果 JavaScipt 不能使用，显示提示"
"Static Blocks","静态块"
"Status","状态"
"Store View","商店界面"
"Such a block identifier in selected store already exist.","选择商店的块标识符已存在。"
"The page you are trying to save no longer exists","要保存的页面不存在"
"This block no longer exists","该块不存在"
"This page no longer exists","该页面不存在"
"Title","标题"
"Unable to find a block to delete","没有找到要删除的块"
"Unable to find a page to delete","没有找到要删除的页面"
